id,query,intent_json,input_prompt,target_json
208,movies released in 2022,"{""year"": 2022}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: movies released in 2022
JSON:","{""year"": 2022}"
3692,mollywood horror movies,"{""genre"": ""Horror"", ""language"": ""Malayalam""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: mollywood horror movies
JSON:","{""genre"": ""Horror"", ""language"": ""Malayalam""}"
459,show me Gujarati movies from 2022,"{""language"": ""Gujarati"", ""year"": 2022}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: show me Gujarati movies from 2022
JSON:","{""language"": ""Gujarati"", ""year"": 2022}"
3472,sallu new film,"{""actor"": ""Salman Khan"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: sallu new film
JSON:","{""actor"": ""Salman Khan"", ""recency"": ""latest""}"
2431,is kushi available on ZEE5,"{""platform"": ""ZEE5"", ""query_type"": ""availability"", ""title"": ""Kushi""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is kushi available on ZEE5
JSON:","{""platform"": ""ZEE5"", ""query_type"": ""availability"", ""title"": ""Kushi""}"
3658,best mollywood binge worthy,"{""content_type"": ""Web Series"", ""language"": ""Malayalam"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best mollywood binge worthy
JSON:","{""content_type"": ""Web Series"", ""language"": ""Malayalam"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated""}"
111,family thriller movies 2021,"{""audience"": ""family"", ""genre"": ""Thriller"", ""year"": 2021}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: family thriller movies 2021
JSON:","{""audience"": ""family"", ""genre"": ""Thriller"", ""year"": 2021}"
4590,pushpa OTT release,"{""query_type"": ""availability"", ""title"": ""Pushpa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: pushpa OTT release
JSON:","{""query_type"": ""availability"", ""title"": ""Pushpa""}"
4045,deepika new movie dobaaraa,"{""actor"": ""Deepika Padukone"", ""recency"": ""latest"", ""title"": ""Dobaaraa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: deepika new movie dobaaraa
JSON:","{""actor"": ""Deepika Padukone"", ""recency"": ""latest"", ""title"": ""Dobaaraa""}"
1884,gujarati 2019,"{""language"": ""Gujarati"", ""year"": 2019}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: gujarati 2019
JSON:","{""language"": ""Gujarati"", ""year"": 2019}"
1714,ranbir ke saare movies,"{""actor"": ""Ranbir Kapoor""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ranbir ke saare movies
JSON:","{""actor"": ""Ranbir Kapoor""}"
3959,ayushmann new movie aadujeevitham,"{""actor"": ""Ayushmann Khurrana"", ""recency"": ""latest"", ""title"": ""Aadujeevitham""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ayushmann new movie aadujeevitham
JSON:","{""actor"": ""Ayushmann Khurrana"", ""recency"": ""latest"", ""title"": ""Aadujeevitham""}"
3400,kesari film,"{""title"": ""Kesari""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kesari film
JSON:","{""title"": ""Kesari""}"
553,pk with tiger shroff,"{""actor"": ""Tiger Shroff"", ""title"": ""PK""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: pk with tiger shroff
JSON:","{""actor"": ""Tiger Shroff"", ""title"": ""PK""}"
1440,mohanlal new film,"{""actor"": ""Mohanlal"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: mohanlal new film
JSON:","{""actor"": ""Mohanlal"", ""recency"": ""latest""}"
2271,vijay ke saare movies,"{""actor"": ""Vijay Deverakonda""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: vijay ke saare movies
JSON:","{""actor"": ""Vijay Deverakonda""}"
3145,best bengali movies 2019,"{""language"": ""Bengali"", ""rating_type"": ""top rated"", ""year"": 2019}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best bengali movies 2019
JSON:","{""language"": ""Bengali"", ""rating_type"": ""top rated"", ""year"": 2019}"
2822,jailer ka rating kya hai,"{""query_type"": ""rating/review"", ""title"": ""Jailer""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: jailer ka rating kya hai
JSON:","{""query_type"": ""rating/review"", ""title"": ""Jailer""}"
4782,kabir singh with fahad,"{""actor"": ""Fahadh Faasil"", ""title"": ""Kabir Singh""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kabir singh with fahad
JSON:","{""actor"": ""Fahadh Faasil"", ""title"": ""Kabir Singh""}"
1926,family psychological thriller movies 2019,"{""audience"": ""family"", ""genre"": ""Psychological thriller"", ""year"": 2019}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: family psychological thriller movies 2019
JSON:","{""audience"": ""family"", ""genre"": ""Psychological thriller"", ""year"": 2019}"
635,pc k'wood sports,"{""actor"": ""Priyanka Chopra"", ""genre"": ""Sports"", ""language"": ""Tamil""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: pc k'wood sports
JSON:","{""actor"": ""Priyanka Chopra"", ""genre"": ""Sports"", ""language"": ""Tamil""}"
4806,rebel star prabhas ka bramayugam,"{""actor"": ""Prabhas"", ""title"": ""Bramayugam""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: rebel star prabhas ka bramayugam
JSON:","{""actor"": ""Prabhas"", ""title"": ""Bramayugam""}"
317,dobaaraa OTT release,"{""query_type"": ""availability"", ""title"": ""Dobaaraa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: dobaaraa OTT release
JSON:","{""query_type"": ""availability"", ""title"": ""Dobaaraa""}"
4218,vicky kaushal ki best thriller film,"{""actor"": ""Vicky Kaushal"", ""genre"": ""Thriller"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: vicky kaushal ki best thriller film
JSON:","{""actor"": ""Vicky Kaushal"", ""genre"": ""Thriller"", ""rating_type"": ""top rated""}"
4700,best bengali supernatural,"{""genre"": ""Supernatural"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best bengali supernatural
JSON:","{""genre"": ""Supernatural"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}"
1329,how is ludo,"{""query_type"": ""rating/review"", ""title"": ""Ludo""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: how is ludo
JSON:","{""query_type"": ""rating/review"", ""title"": ""Ludo""}"
428,2020 blockbusters,"{""rating_type"": ""blockbuster"", ""year"": 2020}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: 2020 blockbusters
JSON:","{""rating_type"": ""blockbuster"", ""year"": 2020}"
4375,is bhool bhulaiyaa available on ZEE5,"{""platform"": ""ZEE5"", ""query_type"": ""availability"", ""title"": ""Bhool Bhulaiyaa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is bhool bhulaiyaa available on ZEE5
JSON:","{""platform"": ""ZEE5"", ""query_type"": ""availability"", ""title"": ""Bhool Bhulaiyaa""}"
106,greek god wali movie,"{""actor"": ""Hrithik Roshan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: greek god wali movie
JSON:","{""actor"": ""Hrithik Roshan""}"
3042,king khan new film,"{""actor"": ""Shah Rukh Khan"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: king khan new film
JSON:","{""actor"": ""Shah Rukh Khan"", ""recency"": ""latest""}"
143,lokesh kanagaraj ki film,"{""director"": ""Lokesh Kanagaraj""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: lokesh kanagaraj ki film
JSON:","{""director"": ""Lokesh Kanagaraj""}"
2170,hit bengali crime film,"{""genre"": ""Crime"", ""language"": ""Bengali"", ""rating_type"": ""hit""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: hit bengali crime film
JSON:","{""genre"": ""Crime"", ""language"": ""Bengali"", ""rating_type"": ""hit""}"
3459,top rated Kannada thriller,"{""genre"": ""Thriller"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top rated Kannada thriller
JSON:","{""genre"": ""Thriller"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}"
90,movies like sultan,"{""similar_to"": ""Sultan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: movies like sultan
JSON:","{""similar_to"": ""Sultan""}"
2919,action packed bhojpuri film,"{""language"": ""Bhojpuri"", ""mood"": ""action packed""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: action packed bhojpuri film
JSON:","{""language"": ""Bhojpuri"", ""mood"": ""action packed""}"
3238,vidya bengali supernatural,"{""actor"": ""Vidya Balan"", ""genre"": ""Supernatural"", ""language"": ""Bengali""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: vidya bengali supernatural
JSON:","{""actor"": ""Vidya Balan"", ""genre"": ""Supernatural"", ""language"": ""Bengali""}"
2242,best of dulquer,"{""actor"": ""Dulquer Salmaan"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best of dulquer
JSON:","{""actor"": ""Dulquer Salmaan"", ""rating_type"": ""top rated""}"
3175,dips ke saare movies,"{""actor"": ""Deepika Padukone""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: dips ke saare movies
JSON:","{""actor"": ""Deepika Padukone""}"
3413,is dasara available on Jio Cinema,"{""platform"": ""Jio Cinema"", ""query_type"": ""availability"", ""title"": ""Dasara""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is dasara available on Jio Cinema
JSON:","{""platform"": ""Jio Cinema"", ""query_type"": ""availability"", ""title"": ""Dasara""}"
2164,dips ki best mystery film,"{""actor"": ""Deepika Padukone"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: dips ki best mystery film
JSON:","{""actor"": ""Deepika Padukone"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
2637,gulabo sitabo ka rating kya hai,"{""query_type"": ""rating/review"", ""title"": ""Gulabo Sitabo""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: gulabo sitabo ka rating kya hai
JSON:","{""query_type"": ""rating/review"", ""title"": ""Gulabo Sitabo""}"
1950,watch war,"{""title"": ""War""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: watch war
JSON:","{""title"": ""War""}"
1769,taapsee family movie,"{""actor"": ""Taapsee Pannu"", ""genre"": ""Family""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: taapsee family movie
JSON:","{""actor"": ""Taapsee Pannu"", ""genre"": ""Family""}"
4291,what are good comedy films on YouTube,"{""genre"": ""Comedy"", ""platform"": ""YouTube"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: what are good comedy films on YouTube
JSON:","{""genre"": ""Comedy"", ""platform"": ""YouTube"", ""rating_type"": ""top rated""}"
2273,top bengali drama film,"{""genre"": ""Drama"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top bengali drama film
JSON:","{""genre"": ""Drama"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}"
2,new on MX Player,"{""platform"": ""MX Player"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: new on MX Player
JSON:","{""platform"": ""MX Player"", ""recency"": ""latest""}"
3283,tiger shroff movies,"{""actor"": ""Tiger Shroff""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: tiger shroff movies
JSON:","{""actor"": ""Tiger Shroff""}"
4958,aamir ki best mystery film,"{""actor"": ""Aamir Khan"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: aamir ki best mystery film
JSON:","{""actor"": ""Aamir Khan"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
1952,jalsa rating,"{""query_type"": ""rating/review"", ""title"": ""Jalsa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: jalsa rating
JSON:","{""query_type"": ""rating/review"", ""title"": ""Jalsa""}"
936,top movies 2018,"{""rating_type"": ""top rated"", ""year"": 2018}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top movies 2018
JSON:","{""rating_type"": ""top rated"", ""year"": 2018}"
4297,is pagglait available on MX Player,"{""platform"": ""MX Player"", ""query_type"": ""availability"", ""title"": ""Pagglait""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is pagglait available on MX Player
JSON:","{""platform"": ""MX Player"", ""query_type"": ""availability"", ""title"": ""Pagglait""}"
2721,aamir ki best movie,"{""actor"": ""Aamir Khan"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: aamir ki best movie
JSON:","{""actor"": ""Aamir Khan"", ""rating_type"": ""top rated""}"
4448,ulaganayagan ki best movie,"{""actor"": ""Kamal Haasan"", ""acyor"": ""Kamal Haasan"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ulaganayagan ki best movie
JSON:","{""actor"": ""Kamal Haasan"", ""acyor"": ""Kamal Haasan"", ""rating_type"": ""top rated""}"
1110,what are good crime films on SonyLIV,"{""genre"": ""Crime"", ""platform"": ""SonyLIV"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: what are good crime films on SonyLIV
JSON:","{""genre"": ""Crime"", ""platform"": ""SonyLIV"", ""rating_type"": ""top rated""}"
3961,rebel star prabhas bengali crime,"{""actor"": ""Prabhas"", ""genre"": ""Crime"", ""language"": ""Bengali""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: rebel star prabhas bengali crime
JSON:","{""actor"": ""Prabhas"", ""genre"": ""Crime"", ""language"": ""Bengali""}"
592,rk film bahubali,"{""actor"": ""Ranbir Kapoor"", ""title"": ""Bahubali""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: rk film bahubali
JSON:","{""actor"": ""Ranbir Kapoor"", ""title"": ""Bahubali""}"
1696,gadar 2 ke jaise aur koi hai kya,"{""similar_to"": ""Gadar 2""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: gadar 2 ke jaise aur koi hai kya
JSON:","{""similar_to"": ""Gadar 2""}"
3451,best tamil binge worthy,"{""content_type"": ""Web Series"", ""language"": ""Tamil"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best tamil binge worthy
JSON:","{""content_type"": ""Web Series"", ""language"": ""Tamil"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated""}"
2937,best mallu film crime,"{""genre"": ""Crime"", ""language"": ""Malayalam"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best mallu film crime
JSON:","{""genre"": ""Crime"", ""language"": ""Malayalam"", ""rating_type"": ""top rated""}"
4205,tiger shroff ka bard of blood,"{""actor"": ""Tiger Shroff"", ""title"": ""Bard of Blood""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: tiger shroff ka bard of blood
JSON:","{""actor"": ""Tiger Shroff"", ""title"": ""Bard of Blood""}"
3412,if you liked aspirants,"{""similar_to"": ""Aspirants""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: if you liked aspirants
JSON:","{""similar_to"": ""Aspirants""}"
1577,freddy imdb rating,"{""query_type"": ""rating/review"", ""title"": ""Freddy""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: freddy imdb rating
JSON:","{""query_type"": ""rating/review"", ""title"": ""Freddy""}"
3955,is dobaaraa available on Amazon Prime,"{""platform"": ""Amazon Prime"", ""query_type"": ""availability"", ""title"": ""Dobaaraa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is dobaaraa available on Amazon Prime
JSON:","{""platform"": ""Amazon Prime"", ""query_type"": ""availability"", ""title"": ""Dobaaraa""}"
214,piggy chops ka sultan,"{""actor"": ""Priyanka Chopra"", ""title"": ""Sultan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: piggy chops ka sultan
JSON:","{""actor"": ""Priyanka Chopra"", ""title"": ""Sultan""}"
779,what are good action films on Disney+ Hotstar,"{""genre"": ""Action"", ""platform"": ""Disney+ Hotstar"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: what are good action films on Disney+ Hotstar
JSON:","{""genre"": ""Action"", ""platform"": ""Disney+ Hotstar"", ""rating_type"": ""top rated""}"
1416,is dangal available on Disney+ Hotstar,"{""platform"": ""Disney+ Hotstar"", ""query_type"": ""availability"", ""title"": ""Dangal""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is dangal available on Disney+ Hotstar
JSON:","{""platform"": ""Disney+ Hotstar"", ""query_type"": ""availability"", ""title"": ""Dangal""}"
3760,bangla horror,"{""genre"": ""Horror"", ""language"": ""Bengali""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: bangla horror
JSON:","{""genre"": ""Horror"", ""language"": ""Bengali""}"
2044,family comedy movies 2018,"{""audience"": ""family"", ""genre"": ""Comedy"", ""year"": 2018}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: family comedy movies 2018
JSON:","{""audience"": ""family"", ""genre"": ""Comedy"", ""year"": 2018}"
2849,new gujarati drama,"{""genre"": ""Drama"", ""language"": ""Gujarati"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: new gujarati drama
JSON:","{""genre"": ""Drama"", ""language"": ""Gujarati"", ""recency"": ""latest""}"
4538,akki film kantara,"{""actor"": ""Akshay Kumar"", ""title"": ""Kantara""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: akki film kantara
JSON:","{""actor"": ""Akshay Kumar"", ""title"": ""Kantara""}"
3506,top sandalwood historical movies,"{""genre"": ""Historical"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top sandalwood historical movies
JSON:","{""genre"": ""Historical"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}"
3814,light hearted wali movie,"{""mood"": ""light hearted""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: light hearted wali movie
JSON:","{""mood"": ""light hearted""}"
1568,ranveer new movie aspirants,"{""actor"": ""Ranveer Singh"", ""recency"": ""latest"", ""title"": ""Aspirants""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ranveer new movie aspirants
JSON:","{""actor"": ""Ranveer Singh"", ""recency"": ""latest"", ""title"": ""Aspirants""}"
166,top rated Hindi drama,"{""genre"": ""Drama"", ""language"": ""Hindi"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top rated Hindi drama
JSON:","{""genre"": ""Drama"", ""language"": ""Hindi"", ""rating_type"": ""top rated""}"
4715,dq pk movie,"{""actor"": ""Dulquer Salmaan"", ""title"": ""PK""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: dq pk movie
JSON:","{""actor"": ""Dulquer Salmaan"", ""title"": ""PK""}"
4273,watch thunivu,"{""title"": ""Thunivu""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: watch thunivu
JSON:","{""title"": ""Thunivu""}"
4927,bachchan sahab ke saare movies,"{""actor"": ""Amitabh Bachchan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: bachchan sahab ke saare movies
JSON:","{""actor"": ""Amitabh Bachchan""}"
1344,kamal all movies list,"{""actor"": ""Kamal Haasan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kamal all movies list
JSON:","{""actor"": ""Kamal Haasan""}"
2014,bengali romance movies,"{""genre"": ""Romance"", ""language"": ""Bengali""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: bengali romance movies
JSON:","{""genre"": ""Romance"", ""language"": ""Bengali""}"
274,show me Punjabi movies from 2020,"{""language"": ""Punjabi"", ""year"": 2020}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: show me Punjabi movies from 2020
JSON:","{""language"": ""Punjabi"", ""year"": 2020}"
72,movies with vidya balan,"{""actor"": ""Vidya Balan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: movies with vidya balan
JSON:","{""actor"": ""Vidya Balan""}"
3888,gehraiyaan ka rating kya hai,"{""query_type"": ""rating/review"", ""title"": ""Gehraiyaan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: gehraiyaan ka rating kya hai
JSON:","{""query_type"": ""rating/review"", ""title"": ""Gehraiyaan""}"
1088,kota factory ka rating kya hai,"{""query_type"": ""rating/review"", ""title"": ""Kota Factory""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kota factory ka rating kya hai
JSON:","{""query_type"": ""rating/review"", ""title"": ""Kota Factory""}"
395,new on ZEE5,"{""platform"": ""ZEE5"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: new on ZEE5
JSON:","{""platform"": ""ZEE5"", ""recency"": ""latest""}"
584,2023 movies,"{""year"": 2023}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: 2023 movies
JSON:","{""year"": 2023}"
1368,family crime movies 2018,"{""audience"": ""family"", ""genre"": ""Crime"", ""year"": 2018}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: family crime movies 2018
JSON:","{""audience"": ""family"", ""genre"": ""Crime"", ""year"": 2018}"
4988,top rated Bengali dark comedy,"{""genre"": ""Dark comedy"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top rated Bengali dark comedy
JSON:","{""genre"": ""Dark comedy"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}"
4089,ranveer singh new movie ponniyin selvan,"{""actor"": ""Ranveer Singh"", ""recency"": ""latest"", ""title"": ""Ponniyin Selvan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ranveer singh new movie ponniyin selvan
JSON:","{""actor"": ""Ranveer Singh"", ""recency"": ""latest"", ""title"": ""Ponniyin Selvan""}"
2549,what are good thriller films on Netflix,"{""genre"": ""Thriller"", ""platform"": ""Netflix"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: what are good thriller films on Netflix
JSON:","{""genre"": ""Thriller"", ""platform"": ""Netflix"", ""rating_type"": ""top rated""}"
1014,top sandalwood sci-fi movies,"{""genre"": ""Sci-Fi"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top sandalwood sci-fi movies
JSON:","{""genre"": ""Sci-Fi"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}"
4898,tiger new film,"{""actor"": ""Tiger Shroff"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: tiger new film
JSON:","{""actor"": ""Tiger Shroff"", ""recency"": ""latest""}"
3004,classic b'wood sci-fi film,"{""genre"": ""Sci-Fi"", ""language"": ""Hindi"", ""rating_type"": ""classic""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: classic b'wood sci-fi film
JSON:","{""genre"": ""Sci-Fi"", ""language"": ""Hindi"", ""rating_type"": ""classic""}"
4789,gujarati action movies,"{""genre"": ""Action"", ""language"": ""Gujarati""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: gujarati action movies
JSON:","{""genre"": ""Action"", ""language"": ""Gujarati""}"
4408,punjabi binge worthy,"{""content_type"": ""Web Series"", ""language"": ""Punjabi"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: punjabi binge worthy
JSON:","{""content_type"": ""Web Series"", ""language"": ""Punjabi"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated""}"
3533,where to watch thunivu,"{""query_type"": ""availability"", ""title"": ""Thunivu""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: where to watch thunivu
JSON:","{""query_type"": ""availability"", ""title"": ""Thunivu""}"
1764,top rated Bhojpuri action,"{""genre"": ""Action"", ""language"": ""Bhojpuri"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top rated Bhojpuri action
JSON:","{""genre"": ""Action"", ""language"": ""Bhojpuri"", ""rating_type"": ""top rated""}"
1876,rk ki films,"{""actor"": ""Ranbir Kapoor""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: rk ki films
JSON:","{""actor"": ""Ranbir Kapoor""}"
